id,title,body,report_date,report_type,uid,status,fileid,file_display,file_desc
0,"Minutes - Resolution No. 2017-1",,"2017-08-10","Minutes",410,1,12213,1,"Resolution 2017-108112017104143.pdf"
1,"Minutes - Resolution No. 2017-2",,"2017-08-10","Minutes",410,1,12214,1,"Resolution 2017-208112017104244.pdf"
2,"Agenda - 2013-01-07",,"2013-01-07","Agenda",47,1,320,1,"AGENDAJan7thSpecial Meeting.pdf"
3,"Agenda - 2008-09-17",,"2008-09-17","Agenda",47,1,438,1,"agenda_20080917.pdf"
4,"Agenda - 2014-07-08",,"2014-07-08","Agenda",48,0,6585,1,"2014_ July_Library Board Report.pdf"
5,"Agenda - 2014-07-15",,"2014-07-15","Agenda",48,0,6622,1,"Agenda_Special Meeting_7 23 14.pdf"
6,"Agenda - 2014-07-23",,"2014-07-23","Agenda",47,1,6698,1,"Agenda_Special Meeting_7_23_14.pdf"
7,"Agenda - April 13 - Board Report",,"2017-04-13","Agenda",48,1,11715,1,"2017_April_Library_Board_report.pdf"
8,"Statistics - 2012-04-12",,"2012-04-12","Statistics",47,1,323,1,
9,"Statistics - 2012-05-07",,"2012-05-07","Statistics",47,1,326,1,
10,"Statistics - 2012-03-08",,"2012-03-08","Statistics",47,1,329,1,
11,"Statistics - 2012-02-09",,"2012-02-09","Statistics",47,1,332,1,
12,"Statistics - 2012-06-14",,"2012-06-14","Statistics",47,1,352,1,
13,"Statistics - 2012-09-13",,"2012-09-13","Statistics",47,1,337,1,
14,"Statistics - 2012-08-09",,"2012-08-09","Statistics",47,1,339,1,
15,"Statistics - 2012-10-11",,"2012-10-11","Statistics",47,1,342,1,
16,"Statistics - 2012-01-18",,"2012-01-18","Statistics",47,1,345,1,
17,"Statistics - 2012-07-12",,"2012-07-12","Statistics",47,1,350,1,
18,"Librarian Report - 2013-01-10",,"2013-01-10","Librarian",47,1,309,1,
19,"Librarian Report - 2013-03-14",,"2013-03-14","Librarian",47,1,311,1,
20,"Librarian Report - 2013-05-15",,"2013-05-15","Librarian",47,1,313,1,
21,"Librarian Report - 2013-06-13",,"2013-06-13","Librarian",47,1,315,1,
22,"Librarian Report - 2013-04-17",,"2013-04-17","Librarian",47,1,317,1,
23,"Librarian Report - 2013-02-14",,"2013-02-14","Librarian",47,1,319,1,
24,"Librarian Report - 2012-04-12",,"2012-04-12","Librarian",47,1,322,1,
25,"Librarian Report - 2012-05-07",,"2012-05-07","Librarian",47,1,325,1,
26,"Librarian Report - 2012-03-08",,"2012-03-08","Librarian",47,1,328,1,
27,"Librarian Report - 2012-02-09",,"2012-02-09","Librarian",47,1,331,1,
28,"Librarian Report - 2012-09-13",,"2012-09-13","Librarian",47,1,336,1,
29,"Librarian Report - 2012-08-09",,"2012-08-09","Librarian",47,1,353,1,
30,"Librarian Report - 2012-10-11",,"2012-10-11","Librarian",47,1,341,1,
31,"Librarian Report - 2012-01-18",,"2012-01-18","Librarian",47,1,344,1,
32,"Librarian Report - 2012-11-08",,"2012-11-08","Librarian",47,1,347,1,
33,"Librarian Report - 2011-01-19",,"2011-01-19","Librarian",47,1,394,1,
34,"Librarian Report - 2011-04-20",,"2011-04-20","Librarian",47,1,397,1,
35,"Librarian Report - 2011-06-15",,"2011-06-15","Librarian",47,1,399,1,
36,"Librarian Report - 2011-05-18",,"2011-05-18","Librarian",47,1,402,1,
37,"Librarian Report - 2011-07-20",,"2011-07-20","Librarian",47,1,404,1,
38,"Librarian Report - 2011-08-17",,"2011-08-17","Librarian",47,1,406,1,
39,"Librarian Report - 2011-09-21",,"2011-09-21","Librarian",47,1,408,1,
40,"Librarian Report - 2011-10-19",,"2011-10-19","Librarian",47,1,410,1,
